Date,App,Usage (minutes),Notifications,Times Opened
2024-08-07,Instagram,81,24,57
2024-08-08,Instagram,90,30,53
2024-08-26,Instagram,112,33,17
2024-08-22,Instagram,82,11,38
2024-08-12,Instagram,59,47,16
2024-08-28,Instagram,50,42,26
2024-08-26,Instagram,51,58,41
2024-08-27,Instagram,71,69,30
2024-08-15,Instagram,91,71,61
2024-08-30,Instagram,80,64,66
2024-08-25,Instagram,32,60,21
2024-08-21,Instagram,102,48,32
2024-08-04,Instagram,118,69,28
2024-08-18,Instagram,38,62,16
2024-08-20,Instagram,89,80,58
2024-08-29,Instagram,37,56,49
2024-08-14,Instagram,110,45,64
2024-08-08,Instagram,33,11,20
2024-08-22,Instagram,33,63,43
2024-08-18,Instagram,119,53,48
2024-08-10,Instagram,91,23,45
2024-08-16,Instagram,44,71,54
2024-08-21,Instagram,109,62,38
2024-08-26,Instagram,118,69,59
2024-08-09,Instagram,58,24,59
2024-08-01,X,39,11,13
2024-08-24,X,15,48,12
2024-08-24,X,45,15,23
2024-08-17,X,22,39,7
2024-08-01,X,41,9,14
2024-08-07,X,40,45,11
2024-08-09,X,22,16,6
2024-08-01,X,30,27,9
2024-08-03,X,26,44,7
2024-08-01,X,17,41,19
2024-08-14,X,17,5,9
2024-08-26,X,37,18,11
2024-08-27,X,23,19,19
2024-08-26,X,24,17,23
2024-08-07,X,31,36,8
2024-08-30,X,19,27,11
2024-08-13,X,29,47,8
2024-08-13,X,21,26,6
2024-08-10,X,27,10,16
2024-08-12,X,34,34,15
2024-08-26,X,37,32,11
2024-08-30,X,15,5,24
2024-08-13,X,23,7,11
2024-08-06,X,22,31,13
2024-08-30,X,19,37,23
2024-08-10,WhatsApp,63,73,88
2024-08-22,WhatsApp,51,145,81
2024-08-17,WhatsApp,68,107,81
2024-08-12,WhatsApp,58,51,32
2024-08-17,WhatsApp,56,105,88
2024-08-17,WhatsApp,21,51,83
2024-08-23,WhatsApp,56,145,30
2024-08-19,WhatsApp,21,102,73
2024-08-26,WhatsApp,51,119,61
2024-08-23,WhatsApp,23,104,85
2024-08-27,WhatsApp,36,87,53
2024-08-05,WhatsApp,71,147,99
2024-08-22,WhatsApp,30,65,88
2024-08-06,WhatsApp,35,142,32
2024-08-20,WhatsApp,79,108,65
2024-08-19,WhatsApp,45,116,48
2024-08-20,WhatsApp,51,120,81
2024-08-09,WhatsApp,52,89,68
2024-08-18,WhatsApp,59,50,40
2024-08-28,WhatsApp,76,138,79
2024-08-23,WhatsApp,50,143,71
2024-08-03,WhatsApp,26,65,89
2024-08-17,WhatsApp,21,50,77
2024-08-30,WhatsApp,31,118,66
2024-08-27,WhatsApp,74,58,48
2024-08-16,8 Ball Pool,20,3,4
2024-08-24,8 Ball Pool,26,8,1
2024-08-24,8 Ball Pool,24,1,8
2024-08-04,8 Ball Pool,10,8,4
2024-08-30,8 Ball Pool,7,9,3
2024-08-25,8 Ball Pool,22,2,2
2024-08-22,8 Ball Pool,7,9,4
2024-08-01,8 Ball Pool,8,1,14
2024-08-21,8 Ball Pool,20,4,8
2024-08-08,8 Ball Pool,11,3,1
2024-08-01,8 Ball Pool,20,3,6
2024-08-23,8 Ball Pool,26,6,6
2024-08-13,8 Ball Pool,23,6,8
2024-08-27,8 Ball Pool,6,5,14
2024-08-01,8 Ball Pool,19,1,5
2024-08-28,8 Ball Pool,20,3,4
2024-08-03,8 Ball Pool,21,1,12
2024-08-28,8 Ball Pool,18,5,6
2024-08-03,8 Ball Pool,13,5,8
2024-08-29,8 Ball Pool,21,5,15
2024-08-03,8 Ball Pool,5,4,15
2024-08-29,8 Ball Pool,25,7,1
2024-08-03,8 Ball Pool,22,9,10
2024-08-22,8 Ball Pool,30,3,8
2024-08-14,8 Ball Pool,28,2,15
2024-08-22,Safari,2,2,10
2024-08-02,Safari,17,0,9
2024-08-11,Safari,16,2,10
2024-08-23,Safari,3,1,9
2024-08-24,Safari,13,1,7
2024-08-25,Safari,4,0,4
2024-08-01,Safari,8,1,3
2024-08-23,Safari,15,1,2
2024-08-23,Safari,19,0,10
2024-08-30,Safari,17,1,6
2024-08-15,Safari,11,0,1
2024-08-08,Safari,12,0,7
2024-08-04,Safari,6,0,4
2024-08-30,Safari,15,2,7
2024-08-08,Safari,20,0,2
2024-08-28,Safari,10,1,3
2024-08-17,Safari,19,1,7
2024-08-26,Safari,5,1,5
2024-08-30,Safari,9,0,1
2024-08-26,Safari,1,2,2
2024-08-30,Safari,16,0,8
2024-08-13,Safari,1,0,7
2024-08-05,Safari,3,1,3
2024-08-05,Safari,14,0,1
2024-08-30,Safari,14,1,4
2024-08-05,Netflix,90,1,2
2024-08-26,Netflix,62,0,4
2024-08-01,Netflix,108,0,2
2024-08-10,Netflix,83,1,2
2024-08-20,Netflix,109,1,2
2024-08-19,Netflix,72,1,1
2024-08-24,Netflix,83,0,4
2024-08-16,Netflix,38,1,2
2024-08-17,Netflix,106,1,3
2024-08-20,Netflix,38,1,2
2024-08-03,Netflix,47,0,5
2024-08-19,Netflix,57,0,4
2024-08-03,Netflix,79,0,2
2024-08-11,Netflix,58,0,5
2024-08-12,Netflix,109,1,2
2024-08-29,Netflix,49,0,1
2024-08-26,Netflix,22,0,2
2024-08-10,Netflix,104,1,2
2024-08-19,Netflix,119,0,4
2024-08-26,Netflix,89,0,4
2024-08-25,Netflix,35,0,1
2024-08-04,Netflix,24,0,1
2024-08-24,Netflix,78,0,1
2024-08-03,Netflix,50,1,1
2024-08-07,Netflix,110,1,5
2024-08-12,Facebook,58,64,22
2024-08-23,Facebook,34,44,50
2024-08-30,Facebook,26,58,29
2024-08-16,Facebook,34,31,22
2024-08-27,Facebook,28,58,45
2024-08-12,Facebook,50,28,21
2024-08-09,Facebook,16,37,23
2024-08-20,Facebook,28,67,25
2024-08-21,Facebook,14,44,21
2024-08-25,Facebook,30,45,32
2024-08-16,Facebook,48,54,48
2024-08-14,Facebook,40,67,14
2024-08-03,Facebook,32,38,20
2024-08-18,Facebook,56,21,18
2024-08-10,Facebook,53,26,47
2024-08-07,Facebook,55,22,49
2024-08-10,Facebook,18,59,36
2024-08-26,Facebook,11,14,38
2024-08-05,Facebook,47,28,17
2024-08-16,Facebook,54,10,31
2024-08-20,Facebook,26,16,34
2024-08-13,Facebook,13,45,15
2024-08-28,Facebook,40,28,48
2024-08-27,Facebook,19,35,28
2024-08-07,Facebook,12,54,22
2024-08-18,LinkedIn,24,13,8
2024-08-29,LinkedIn,13,8,1
2024-08-03,LinkedIn,17,13,9
2024-08-28,LinkedIn,21,10,8
2024-08-01,LinkedIn,10,6,6
2024-08-26,LinkedIn,16,14,5
2024-08-16,LinkedIn,25,12,5
2024-08-04,LinkedIn,7,4,4
2024-08-25,LinkedIn,22,10,1
2024-08-14,LinkedIn,19,2,5
2024-08-22,LinkedIn,7,8,9
2024-08-11,LinkedIn,16,11,8
2024-08-06,LinkedIn,16,9,5
2024-08-08,LinkedIn,8,11,8
2024-08-26,LinkedIn,22,13,5
2024-08-09,LinkedIn,8,12,6
2024-08-17,LinkedIn,13,2,5
2024-08-20,LinkedIn,17,13,3
2024-08-29,LinkedIn,10,3,3
2024-08-05,LinkedIn,19,10,2
2024-08-10,LinkedIn,22,12,5
2024-08-23,LinkedIn,5,7,1
2024-08-18,LinkedIn,19,2,5
2024-08-26,LinkedIn,21,14,1
2024-08-02,LinkedIn,13,4,1
